id,Price
0,6395120.891913801
1,17111435.24321468
2,11763187.028115982
3,6676777.196848421
4,6938924.444619713
5,5063071.508482861
6,5423868.488152824
7,4292085.7634764565
8,8904869.482205791
9,10869226.797869204
10,7422679.632917408
11,9856634.88093408
12,9321644.705727192
13,4772500.256744045
14,5174771.958834651
15,9278979.525379727
16,9167309.004384868
17,9195094.546231715
18,10831122.82096341
19,4920659.390078483
20,17624740.27436181
21,10463606.408517381
22,10847938.68765676
23,10005070.142982561
24,5144968.604537228
25,5435576.948769669
26,6676777.196848421
27,5584375.50023778
28,6337937.604925649
29,10607176.895924294
30,9460983.17433401
31,5435576.948769669
32,10922384.945136772
33,7488081.191738118
34,6387964.663924893
35,10595468.43530745
36,5641427.980128206
37,9184450.491125492
38,5090746.051759039
39,16778484.028456114
40,9801347.922645267
41,9805605.544687755
42,4686721.6557170125
43,10821543.171367811
44,10029551.469726872
45,9460983.17433401
46,9169563.977804638
47,6816260.09134916
48,5364261.779557981
49,5402580.37794038
50,11615552.685459325
51,8460435.127771873
52,5567345.012067825
53,5744194.749588709
54,10386789.526530119
55,9750256.458135402
56,9327942.17886835
57,11032168.108246027
58,4958977.9884608835
59,10602919.273881806
60,9301332.041102793
61,9783253.02896469
62,5118309.596464546
63,4002376.692536847
64,15770703.322062328
65,9278979.525379727
66,6249810.167563004
67,9327942.17886835
68,9805605.544687755
69,17027347.20787552
70,17009190.185931403
71,5593249.544237448
72,19076136.124019135
73,8596436.8992132
74,8477408.174143188
75,5090746.051759039
76,18047985.455024317
77,4930239.039674084
78,4967493.232545861
79,7418422.010874918
80,12588143.101679597
81,17577906.43189443
82,9306654.068655904
83,17142178.746495634
84,5470198.113272973
85,15595197.17137043
86,17699248.660105363
87,10811963.521772211
88,58134710.016458794
89,9173695.4374486
90,19156345.81048186
91,13614757.49288224
92,4956849.177439639
93,4930239.039674084
94,11032168.108246027
95,9989104.060323227
96,11027910.486203538
97,6893408.519110944
98,5142606.231089182
99,17027347.20787552
100,4952591.55539715
101,5733828.203361197
102,11726247.760866137
103,30451092.90898971
104,7635687.285071974
105,19104466.690201517
106,9291752.391507193
107,6249810.167563004
108,11883301.44148941
109,9914575.022708453
110,5915451.556010883
111,4276119.6808171235
112,4941947.500290928
113,4708120.764500126
114,10317665.296603218
115,6743396.4986842545
116,5160899.390592052
117,8406032.56933891
118,8226268.796604522
119,10868342.398013355
120,4697476.709393904
121,17041122.351250067
122,6658946.295796072
123,6859838.589021129
124,5203323.4947020225
125,10903283.087744212
126,18037168.91591814
127,10203033.21230398
128,10365501.416317675
129,5086377.43114588
130,4841624.486670947
131,17684284.854693107
132,10827818.605860874
133,4293150.1689870795
134,5153483.848622207
135,10687552.333556497
136,7635687.285071974
137,10818349.954835944
138,16940065.9560045
139,11836821.677443761
140,17523898.50059285
141,10299508.274659097
142,6712654.286634264
143,10024229.44217376
144,9805605.544687755
145,4953655.960907772
146,4693219.087351415
147,8964651.189558197
148,7635687.285071974
149,10228578.944558913
150,10879870.852975426
151,10317603.168339675
152,8641313.364822593
153,8504132.875073714
154,5703214.091588613
155,10129513.530104887
156,5150057.069663538
157,15036004.825875316
158,11627337.528825006
159,7407777.955768696
160,17027347.20787552
161,10125255.908062398
162,16348189.04874879
163,10879870.852975426
164,9188597.114597311
165,12132127.315887157
166,9992186.278284425
167,12194927.241013868
168,11032168.108246027
169,8969482.536876515
170,9323684.556825861
171,9824653.845308287
172,4703863.142457638
173,4333597.578390723
174,8230526.41864701
175,10925578.161668638
176,9787973.37771234
177,5263632.777822881
178,17142303.003022723
179,13884440.50581211
180,8211367.119455809
181,9853937.818430623
182,10578437.947137496
183,18143915.455095485
184,10925578.161668638
185,8084249.830348723
186,4952591.55539715
187,12463632.259115964
188,9316233.718251504
189,5153250.286195405
190,4003441.0980474693
191,10970283.19311477
192,9315169.312740881
193,15986656.882157875
194,4941947.500290928
195,4952591.55539715
196,8565569.139405157
197,6332615.577372538
198,5462747.274698618
199,17940308.014451522
200,17756664.42941542
201,4955784.771929016
